conversation_id,sentiment_score,clusters,confidence,reasoning,model,created_at
conv_1,0.3,"[""customer_support"", ""assistance_offer""]",0.8,"Positive tone from support offering help, though no resolution yet.",grok-3,2025-12-24 22:24:19
conv_11,-1.0,"[""customer_support"", ""negative_feedback""]",0.9,"Support acknowledges a negative experience, reflecting poor sentiment.",grok-3,2025-12-24 22:24:19
conv_12,-1.0,"[""customer_complaint"", ""connectivity_issues""]",0.95,Customer expresses strong frustration and skepticism with sarcasm.,grok-3,2025-12-24 22:24:19
conv_15,0.2,"[""customer_support"", ""assistance_offer""]",0.7,"Support offers help, but tone is neutral with no resolution.",grok-3,2025-12-24 22:24:19
conv_2,-1.0,"[""customer_frustration"", ""communication_issue""]",0.85,"Customer questions support's method, indicating doubt or frustration.",grok-3,2025-12-24 22:24:19
conv_3,-1.0,"[""customer_frustration"", ""unresolved_issue""]",0.9,"Customer highlights lack of response, showing clear dissatisfaction.",grok-3,2025-12-24 22:24:19
conv_4,0.2,"[""customer_support"", ""assistance_offer""]",0.7,"Support offers help, but tone remains neutral without progress.",grok-3,2025-12-24 22:24:19
conv_5,-1.0,"[""customer_frustration"", ""communication_issue""]",0.8,Customer confirms action but implies ongoing issue with no response.,grok-3,2025-12-24 22:24:19
conv_6,0.2,"[""customer_support"", ""assistance_offer""]",0.7,"Support requests details, maintaining a neutral helpful tone.",grok-3,2025-12-24 22:24:19
conv_8,-1.0,"[""customer_complaint"", ""poor_service""]",0.95,Customer directly criticizes service quality with strong negative tone.,grok-3,2025-12-24 22:24:19
conv_16,-1.0,"[""customer_complaint"", ""service_issue""]",0.7,"Negative sentiment due to implied frustration with service from day one, though text is incomplete.",grok-3,2025-12-24 22:24:28
conv_17,0.8,"[""customer_support"", ""issue_resolution""]",0.9,Positive sentiment as support offers help with a friendly tone.,grok-3,2025-12-24 22:24:28
conv_18,-1.0,"[""customer_complaint"", ""network_issue""]",0.95,Strong negative sentiment with accusations of lying about connection quality.,grok-3,2025-12-24 22:24:28
conv_19,0.5,"[""customer_support"", ""account_access""]",0.8,Neutral to slightly positive sentiment as support offers assistance with account access.,grok-3,2025-12-24 22:24:28
